#separator:tab
#html:true
#notetype:Cloze
#deck:ENARE-EBSERH::80-20::Infectologia::Doenças tropicais e negligenciadas
Síndrome de Löffler é causada pela passagem de larvas de helmintos pelos {{c1::pulmões}}.	Ascaris lumbricoides, Strongyloides stercoralis, Ancylostoma/Necator.	Assunto::doencas-tropicais-e-negligenciadas Banca::EBSERH Ano::2025 Dificuldade::MEDIA
Achados clássicos da síndrome de Löffler: tosse seca, dispneia e {{c1::infiltrado pulmonar migratório}}.	Com eosinofilia associada.	Assunto::doencas-tropicais-e-negligenciadas Conceito
A eosinofilia na síndrome de Löffler é maior na fase {{c1::de migração larvária pulmonar}} do que na intestinal.	—	Assunto::doencas-tropicais-e-negligenciadas Conceito
A síndrome de Löffler é um quadro {{c1::autolimitado}}.	Não deve ser tratada como pneumonia bacteriana.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Estrongiloidíase disseminada (síndrome de hiperinfecção) ocorre tipicamente em pacientes {{c1::imunossuprimidos}}.	Sobretudo em uso de corticoide, mesmo dose baixa ou curta.	Assunto::doencas-tropicais-e-negligenciadas Banca::ENARE Ano::2025 Dificuldade::FACIL
Na hiperinfecção por Strongyloides, larvas carreiam {{c1::bactérias entéricas}} para múltiplos órgãos.	Causando sepse/meningite por gram-negativos.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Antes de imunossuprimir paciente de área endêmica, deve-se rastrear e tratar {{c1::estrongiloidíase}}.	Risco de síndrome de hiperinfecção fatal.	Assunto::doencas-tropicais-e-negligenciadas Conceito
O corticoide suprime a resposta {{c1::Th2}}, permitindo autoinfecção descontrolada por Strongyloides.	Larvas rabditoides se transformam em filarioides ainda no hospedeiro.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Tratamento da estrongiloidíase disseminada: {{c1::ivermectina}} em curso prolongado.	Associada a antibioticoterapia para a bacteremia secundária.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Doença da arranhadura do gato é causada por {{c1::Bartonella henselae}}.	Transmitida por arranhadura/mordida de gato.	Assunto::doencas-tropicais-e-negligenciadas Conceito
Manifestação atípica da doença da arranhadura do gato: {{c1::neurorretinite}} com estrela macular.	Edema de disco óptico + exsudatos maculares em padrão estrelado.	Assunto::doencas-tropicais-e-negligenciadas Banca::EBSERH Ano::2026 Dificuldade::MEDIA
