#separator:tab
#html:true
#notetype:Cloze
#deck:ENARE-EBSERH::80-20::Pneumologia::Derrame pleural
Tríade semiológica clássica do derrame pleural: percussão {{c1::maciça}}; frêmito toracovocal {{c2::reduzido/abolido}}; murmúrio vesicular {{c3::diminuído/abolido}}.	O líquido pleural absorve a vibração torácica em vez de transmiti-la; achado cobrado em ENARE 2025 Q19 e ENARE 2026 Q27.	Assunto::derrame-pleural Banca::ENARE Ano::2025 Dificuldade::MEDIA
Achados semiológicos da consolidação pneumônica (padrão oposto ao derrame): frêmito toracovocal {{c1::aumentado}}; ausculta com {{c2::broncofonia/pectorilóquia}}; presença de {{c3::estertores}}.	O parênquima consolidado, denso e preenchido por exsudato, transmite melhor o som — contraste clássico cobrado como distrator em prova.	Assunto::derrame-pleural Conceito
Diferente do derrame (maciço), o pneumotórax é {{c1::hipertimpânico}} à percussão.	Confundir os dois é erro comum ao decidir a próxima conduta.	Assunto::derrame-pleural Conceito
A egofonia ocorre no {{c1::limite superior}} do derrame pleural.	Zona de transição entre o líquido e o pulmão comprimido (atelectasia compressiva).	Assunto::derrame-pleural Conceito
A egofonia surge porque o pulmão comprimido transmite melhor sons de {{c1::alta frequência}}.	Fenômeno fisiopatologicamente distinto da broncofonia da consolidação.	Assunto::derrame-pleural Conceito
Derrame pleural volumoso pode desviar o mediastino/traqueia para o lado {{c1::contralateral}}.	Costuma vir junto de expansibilidade torácica reduzida no lado acometido.	Assunto::derrame-pleural Conceito
A curva de {{c1::Damoiseau}} é mais alta lateralmente e mais baixa medialmente.	Explica por que a macicez não é uniforme ao longo da parede torácica.	Assunto::derrame-pleural Conceito
Diante de derrame pleural de causa não esclarecida, o próximo passo é a {{c1::toracocentese diagnóstica}}.	Derrame pequeno com causa evidente (ex.: ICC compensando) pode ser só observado.	Assunto::derrame-pleural Conceito
Os critérios de {{c1::Light}} usam proteína e LDH para diferenciar transudato de exsudato.	Aplicados sobre o líquido obtido na toracocentese diagnóstica.	Assunto::derrame-pleural Conceito
Derrames menores que {{c1::300 mL}} podem não alterar a semiologia clássica.	Não descartar derrame por exame físico normal em paciente sintomático.	Assunto::derrame-pleural Conceito
Derrame pequeno aparece na radiografia apenas como {{c1::velamento do seio costofrênico}}.	—	Assunto::derrame-pleural Conceito
O derrame subpulmonar pode simular {{c1::elevação da cúpula diafragmática}} na radiografia.	—	Assunto::derrame-pleural Conceito
O derrame subpulmonar pode mimetizar {{c1::ascite ou hepatomegalia}} ao exame físico.	Atenção redobrada no exame abdominal quando há suspeita de derrame subpulmonar.	Assunto::derrame-pleural Conceito
O atrito pleural tende a {{c1::desaparecer}} conforme o derrame aumenta de volume.	O líquido acumulado separa os folhetos pleurais inflamados.	Assunto::derrame-pleural Conceito
O sopro pleurítico ("e-para-a") ocorre, como a egofonia, na {{c1::zona de transição}} do derrame.	Percebido na ausculta, diferente da egofonia (percebida na fala).	Assunto::derrame-pleural Conceito
Derrame parapneumônico complicado (pH e glicose baixos) indica {{c1::drenagem torácica}}.	Cenário de empiema pleural.	Assunto::derrame-pleural Conceito
Toracocentese de alívio é indicada em derrame volumoso com {{c1::dispneia}}.	Tratamento sintomático, distinto da toracocentese diagnóstica.	Assunto::derrame-pleural Conceito
🔤 Mnemônico da tríade semiológica do derrame pleural: {{c1::MFM}}.	Macicez, Frêmito abolido, Murmúrio vesicular abolido. Recurso próprio, padrão oposto ao da consolidação.	Assunto::derrame-pleural Mnemonico
